"plotId","Grain_yield","Days_to_flowering","Days_to_maturity","SDWT_100Wgh_g"
"8T3QPd92c49db","164.66667","38.0","102.333336","33.293335"
"8T3QP70ad1814","169.0","40.0","103.0","21.17"
"8T3QP4025ed3f","102.0","32.666668","101.333336","32.926666"
"8T3QP305115fb","149.33333","44.333332","103.333336","21.35"
"8T3QP59f77385","96.333336","33.666668","101.0","34.12"
"8T3QP352e591b","84.666664","31.666666","101.666664","32.84"
"8T3QP9ebc9d37","110.0","33.333332","102.333336","36.72333"
"8T3QP14486e07","81.0","34.0","102.666664","31.703333"
"8T3QP116be7cc","123.666664","34.666668","104.0","33.31333"
"8T3QP5d62cb17","155.33333","41.333332","103.333336","25.799997"
"8T3QPa1ae6d8d","92.666664","31.666666","103.0","36.13333"
"8T3QPa02669b9","103.0","33.0","102.333336","34.533337"
"8T3QP215f3f4a","97.333336","36.666668","104.0","16.33"
"8T3QP05aea80f","182.66667","34.0","105.666664","33.236668"
"8T3QP55509249","153.66667","33.333332","102.333336","32.07"
"8T3QP95b31aea","146.66667","37.333332","103.666664","24.19"
"8T3QPad45bf1e","153.66667","39.0","102.0","23.269999"
"8T3QPb04af79b","67.0","40.666668","101.0","15.563333"
"8T3QP2cbef36e","119.0","40.666668","106.333336","18.31"
"8T3QPc031556d","52.666668","35.0","101.0","18.536667"
"8T3QPc3e189a6","143.66667","41.333332","101.0","24.353333"
"8T3QPeee7e08a","50.666668","34.0","102.0","19.593332"
"8T3QP85eab761","148.66667","45.666668","103.666664","24.52333"
"8T3QP7e55bd0b","134.0","40.333332","102.333336","25.013334"
"8T3QP30c45bae","52.666668","42.666668","108.0","26.266668"
"8T3QPa2a80c8d","144.66667","36.333332","104.666664","25.243334"
"8T3QP983792f9","69.333336","43.333332","102.666664","19.516668"
"8T3QP6530020d","170.33333","44.0","103.333336","16.873333"
"8T3QP1ab96722","99.0","35.333332","104.666664","33.246666"
"8T3QP008ea33b","157.33333","33.333332","103.333336","34.69"
