Geno,DigitalBiomass,leafArea3D,leafAreaIndex,LeafAngle,LeafInclination,LightPenetrationDepth,PlantHeight,ProjectedLeafArea
G1,49605900,89420.53333,0.343923333,48.888,1.334,187.7676667,558.851,67719.36667
G2,54653666.67,95298.83334,0.366533333,49.29433333,1.322833333,207.6701667,573.4506667,71854.6
G3,47536000,86666.66667,0.333336667,47.23233333,1.362333333,188.9826667,551.227,63538.83333
G4,45106500,84249.6,0.324038333,46.9,1.370333333,167.3063333,537.258,61333.8
G5,58240166.67,112908.3334,0.434263333,50.24633333,1.302666667,155.063,572.2803333,33220.14815
G6,53062333.33,101032.7667,0.388586667,51.488,1.278666667,149.6046666,525.259,79067.66667
G7,37377633.33,69145.18333,0.26594,45.75266666,1.398833333,179.3641667,546.1771667,49430.01666
G8,44717700,81968.46667,0.315263333,47.44466666,1.360333333,186.081,552.748,60201.83333
G9,58580766.67,114687,0.441103333,49.13633333,1.325,214.905,573.071,86640.73333
G10,44798716.66,-6221.246296,-0.023932037,49.07633334,1.303166667,202.1765,568.413,114137.9296
G11,47779766.67,86683.6,0.333396667,48.464,1.341666667,185.7806667,552.652,64540.5
G12,53090650,77899.26667,0.299615,50.16383333,1.307333333,155.0761667,546.9285,62847.68333
G13,46859416.67,86641.88332,0.333238333,47.48033333,1.3585,177.8216667,543.8333333,63926.2
G14,50070850,83816.83333,0.322375,47.99783334,1.349,226.0913334,594.3756667,62462.96667
G15,50084316.66,84254.53333,0.324053333,48.38816666,1.3415,217.4488333,600.588,63382.13333
G16,47792683.33,85344.03333,0.328245,47.69383333,1.356833334,184.9948333,562.703,63280.71667
G17,44865533.33,85326.06666,0.328176667,50.23666666,1.3305,139.5118333,561.9763334,64722.98333
G18,47669033.33,75460.2,0.29023,47.64266667,1.356,161.8426667,582.367,57725.93333
G19,41683683.33,74024.03333,0.284708333,48.116,1.345666667,198.98,562.8091666,54848.06667
G20,40418366.67,85994.73333,0.330746667,46.81733333,1.371666667,104.3273333,534.5955,60088.86667
G21,53093200,93115.79999,0.358136667,47.56133333,1.361666666,220.2943333,577.3836667,68838.4
G22,49199466.67,98147.20001,0.37749,48.227,1.341666667,164.6136667,540.675,73277.96667
G23,55959766.67,105360.0333,0.405233334,48.55533333,1.335,156.063,531.6973333,79005.83333
G24,52613616.67,103085.2667,0.396481667,49.09183333,1.331,128.1798333,508.5401667,78328.86667
G25,49625633.33,79511.63334,0.305813333,47.181,1.365666667,140.1863333,530.5653333,60744.43333
G26,42677533.33,84296.1,0.324216667,48.08266667,1.345,185.2343333,556.262,62710.3
G27,51529966.67,93415.93333,0.35929,48.59816667,1.345,169.7393333,559.1146667,70550.8
G28,56183600,114387.3333,0.439953333,47.36566667,1.324166667,150.7833333,556.4371667,87547.96667
G29,42278366.66,83123.86667,0.319706667,49.27366666,1.320333333,169.2753333,547.2856667,57921.73333
G30,43165600,74946.7,0.288256667,48.61233333,1.333,215.968,575.409,55938.03333
G31,44933433.33,84649.73333,0.325573333,46.77833334,1.380666667,159.6453333,546.9056667,62243.6
G32,56024866.67,101471.7,0.390276667,48.71933333,1.335666667,175.379,551.6356667,76250.76667
G33,44375300,80858.56667,0.310996667,49.48233333,1.322666667,176.369,552.6036667,61958.3
G34,43112266.67,77380.86667,0.29762,48.42433333,1.34,151.7176667,553.1843334,61965.1
G35,49680200,111276.9667,0.427986667,49.86933334,1.329333333,127.2786667,538.7273333,85814.76667
G36,50547500,93269.83332,0.358728333,47.71816667,1.3575,181.7755,540.2648333,69103.66666
G37,47354783.33,95422.28335,0.36701,47.49833333,1.361166667,159.3376666,561.3495,64219.05
G38,40203700,74587.56667,0.286876667,49.035,1.327333334,191.0276666,539.5813333,55913
G39,46730733.33,86124.2,0.331246667,48.60033334,1.335,182.6636667,544.5176666,64524.76667
G40,42773716.67,79745.03333,0.30671,48.13466667,1.347,167.5108333,537.3786666,59337.4
G41,54782000,98998.99999,0.380763333,49.69233333,1.314666666,174.35,553.0083333,75573.86667
G42,45368166.67,84806.20001,0.32618,47.26033333,1.366666667,164.1036667,529.111,62791.63333
G43,47141400,88595.36667,0.340753333,48.64666667,1.332333333,181.6353333,556.9773333,64775.06666
G44,51286666.67,94968.63334,0.365266667,48.106,1.35,163.8693333,589.276,71065.53333
G45,60268566.67,106535.1334,0.40975,49.61233333,1.321666667,185.1383333,564.1493333,81154.2
G46,53246066.66,112755.5333,0.433676667,49.08,1.334,149.1573333,543.64,130514.565
G47,43759233.33,87324.5,0.335863333,50.30766667,1.304333333,141.6986667,508.144,67383.46667
G48,41277333.33,74962.86667,0.288316667,46.02,1.397666667,186.0543333,556.279,54199.16667
G49,45117700,97565.33334,0.375251667,50.88416667,1.289666667,122.523,496.4991667,75979.45
G50,52120733.33,93461.19999,0.359466666,47.545,1.356,173.0626667,553.8673333,68713.33333
G51,56205166.67,87198.56666,0.33538,45.91766667,1.382166667,135.6743333,536.9346667,61215.83333
G52,49299866.67,86791.23333,0.333813333,50.22566667,1.301666666,216.0366667,589.7886667,63172.76666
G53,49332900,87788.83333,0.337646667,46.858,1.371666667,188.388,561.571,63869.23333
G54,50591383.33,96179.73332,0.36992,48.5195,1.340666666,186.1736667,552.9645,72842.83333
G55,53307933.33,97741.50001,0.37593,48.91166667,1.331333334,171.5993333,544.0053333,73572.3
G56,55139966.67,96676.50001,0.371833333,49.99566667,1.298,100.5956667,530.175,75677.83334
G57,52044800,85804.46667,0.330016666,48.16933333,1.342333333,177.561,591.5543333,59102.16667
G58,41813200,79941.83333,0.30747,47.338,1.313,159.2456667,528.2636667,58891.3
G59,56136933.33,102350.4,0.393655,50.21333333,1.3015,175.0736667,550.6015,78585.16667
